Index,category,sub_category,brand,sale_price,market_price
7445,Beauty & Hygiene,Bath & Hand Wash,Fiama,108.9,110
7446,Beauty & Hygiene,Men's Grooming,LetsShave,379.05,399
7447,"Kitchen, Garden & Pets",Kitchen Accessories,Anjali,229,275
7448,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,110.5,130
7449,Snacks & Branded Foods,Chocolates & Candies,Kiara Foods,80,80
7450,Beauty & Hygiene,Skin Care,BIOTIQUE,127.5,170
7451,Beauty & Hygiene,Skin Care,BIOTIQUE,499,499
7452,Snacks & Branded Foods,Frozen Veggies & Snacks,McCain,103.5,115
7453,"Eggs, Meat & Fish",Mutton & Lamb,Pure South,2249.1,2499
7454,Beauty & Hygiene,Men's Grooming,Nike,209.25,279
7455,Cleaning & Household,Stationery,Kaadoo,150,199
7456,Beauty & Hygiene,Skin Care,Akshara Herbals,50,50
7457,Beauty & Hygiene,Bath & Hand Wash,INATUR ,480,600
7458,Beauty & Hygiene,Hair Care,Mamaearth,599,599
7459,Beauty & Hygiene,Hair Care,Revlon,664.05,699
7460,Gourmet & World Food,"Sauces, Spreads & Dips",Habanero,197.1,219
7461,Gourmet & World Food,Chocolates & Biscuits,Lindberg,1047,2097
7462,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,135,180
7463,Gourmet & World Food,Tinned & Processed Food,Epicure,250,250
7464,"Foodgrains, Oil & Masala",Masalas & Spices,Double Horse,35,35
7465,Beauty & Hygiene,Hair Care,Loreal Paris,495,550
7466,Snacks & Branded Foods,Snacks & Namkeen,Dip,125,125
7467,Beauty & Hygiene,Skin Care,Joy,187.5,250
7468,"Kitchen, Garden & Pets",Kitchen Accessories,Seven seas,449,449
7469,"Kitchen, Garden & Pets",Storage & Accessories,Milton,29,45
7470,"Kitchen, Garden & Pets",Pet Food & Accessories,Dogsee Chew,199,199
7471,Cleaning & Household,Stationery,Apsara,147,150
7472,Gourmet & World Food,Cooking & Baking Needs,Serapheena,126.65,149
7473,Gourmet & World Food,Cooking & Baking Needs,Nutty Yogi,189,189
7474,Cleaning & Household,Bins & Bathroom Ware,Ratan,49,75
