index,category,sub_category,brand,sale_price,market_price
7074,Gourmet & World Food,Cereals & Breakfast,Nutty Yogi,229,229
7075,Cleaning & Household,Fresheners & Repellents,Odomos,75,75
7076,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",bb Royal,76,90
7077,"Kitchen, Garden & Pets",Storage & Accessories,Yellow Spark,149,175
7078,"Foodgrains, Oil & Masala",Rice & Rice Products,Kohinoor,98,125
7079,Beauty & Hygiene,Feminine Hygiene,Jeva,337.5,450
7080,"Kitchen, Garden & Pets",Appliances & Electricals,Eveready,399,499
7081,"Foodgrains, Oil & Masala",Dals & Pulses,bb Royal,180,259
7082,"Foodgrains, Oil & Masala",Organic Staples,PRISTINE,310.4,320
7083,Gourmet & World Food,Cooking & Baking Needs,Cafe Junyali,925,925
7084,Snacks & Branded Foods,Breakfast Cereals,Bagrrys,245,245
7085,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Tong Garden,140,140
7086,"Eggs, Meat & Fish",Fish & Seafood,Ifb,200,200
7087,Snacks & Branded Foods,Ready To Cook & Eat,MTR,60,60
7088,Fruits & Vegetables,Fresh Fruits,Fresho,76,95
7089,"Kitchen, Garden & Pets",Crockery & Cutlery,Treo,449,545
7090,Fruits & Vegetables,Cuts & Sprouts,Fresho,22,27.5
7091,Snacks & Branded Foods,Frozen Veggies & Snacks,Yummiez,95,105
7092,Beauty & Hygiene,Health & Medicine,Dettol,639.2,799
7093,Beauty & Hygiene,Skin Care,Jovees,213.75,225
7094,Snacks & Branded Foods,Pickles & Chutney,Chings,44.1,45
7095,Beauty & Hygiene,Oral Care,Sensodyne,75,75
7096,"Foodgrains, Oil & Masala",Rice & Rice Products,Kohinoor,174,215
7097,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,299,398
7098,Beauty & Hygiene,Hair Care,Revlon,594.15,699
7099,Gourmet & World Food,Drinks & Beverages,Nutriorg,220.5,245
7100,Cleaning & Household,Pooja Needs,Om Bhakti,99,99
7101,Gourmet & World Food,Dairy & Cheese,Haagen-Dazs,750,750
7102,Gourmet & World Food,Dairy & Cheese,MOOZ,200,200
7103,Beauty & Hygiene,Health & Medicine,Sri Sri Tattva,130,130
7104,"Foodgrains, Oil & Masala",Dry Fruits,Grocery Farm,200,200
7105,Beauty & Hygiene,Health & Medicine,Charak,84,84
7106,Snacks & Branded Foods,Ready To Cook & Eat,Weikfield,40,45
7107,Cleaning & Household,Pooja Needs,HAZEL,349,355
7108,Cleaning & Household,"Mops, Brushes & Scrubs",Gala,199,199
7109,Beauty & Hygiene,Health & Medicine,ORGANIC INDIA,225,225
7110,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Trust,160,160
7111,Beauty & Hygiene,Bath & Hand Wash,Stonesoup,295,295
7112,Cleaning & Household,All Purpose Cleaners,Domex,40,40
7113,Cleaning & Household,All Purpose Cleaners,Pidilite,103,105
7114,Gourmet & World Food,Oils & Vinegar,Organic Origins,285,285
7115,Cleaning & Household,Stationery,Oasis,295,295
7116,"Kitchen, Garden & Pets",Storage & Accessories,Asian,119,182
7117,Cleaning & Household,"Disposables, Garbage Bag",Selpak,325,325
7118,"Eggs, Meat & Fish","Sausages, Bacon & Salami",Meatzza,240,240
7119,"Bakery, Cakes & Dairy",Dairy,Goodmylk,140,140
7120,"Kitchen, Garden & Pets",Storage & Accessories,Treo,439,540
7121,Gourmet & World Food,Cereals & Breakfast,Graminway,300,300
7122,Snacks & Branded Foods,Pickles & Chutney,MTR,90,90
7123,Cleaning & Household,All Purpose Cleaners,bb Combo,155,163
7124,"Kitchen, Garden & Pets",Storage & Accessories,Cello,369,425
7125,"Kitchen, Garden & Pets",Storage & Accessories,Asian,469,796
7126,Gourmet & World Food,Tinned & Processed Food,American Garden ,225,225
7127,Cleaning & Household,Detergents & Dishwash,bb Combo,463.66,568
7128,"Foodgrains, Oil & Masala",Organic Staples,bb Royal,190,229
7129,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",LISO,249,249
7130,Beauty & Hygiene,Health & Medicine,Dr. Vaidya's,250,250
